step_min,scenario,phase,current_slope,carried_kg,delivered_count,steep_crossings,lon,lat,cumul_walk_km,cumul_truck_km,slope_load_idx
1,truck_walk,truck,0.0,0.0,0,0,126.920038,37.470061,0.0,0.0447,0.0
2,truck_walk,truck,0.0,0.0,0,0,126.919976,37.470054,0.0,0.0517,0.0
3,truck_walk,truck,0.0,0.0,0,0,126.919048,37.470614,0.0,0.172,0.0
4,truck_walk,truck,0.0,0.0,0,0,126.918792,37.470911,0.0,0.2156,0.0
5,truck_walk,truck,0.0,0.0,0,0,126.917921,37.471609,0.0,0.3394,0.0
6,truck_walk,truck,0.0,0.0,0,0,126.917933,37.471967,0.0,0.3792,0.0
7,truck_walk,truck,0.0,0.0,0,0,126.917974,37.472155,0.0,0.4005,0.0
8,truck_walk,truck,0.0,0.0,0,0,126.918172,37.472762,0.0,0.4714,0.0
9,truck_walk,walk,0.0,6.9,0,0,126.918172,37.472762,0.0,0.4714,0.0
10,truck_walk,walk,1.807,6.9,0,0,126.918172,37.472762,0.0,0.4714,12.468
11,truck_walk,truck,1.807,0.0,1,0,126.918172,37.472762,0.0,0.4714,0.0
12,truck_walk,truck,0.0,0.0,1,0,126.918172,37.472762,0.0,0.4714,0.0
13,truck_walk,truck,0.0,0.0,1,0,126.918399,37.472795,0.0,0.4969,0.0
14,truck_walk,truck,0.0,0.0,1,0,126.918504,37.472805,0.0,0.5086,0.0
15,truck_walk,truck,0.0,0.0,1,0,126.91881,37.472949,0.0,0.5461,0.0
16,truck_walk,truck,0.0,0.0,1,0,126.918926,37.472839,0.0,0.5638,0.0
17,truck_walk,truck,0.0,0.0,1,0,126.919044,37.472727,0.0,0.5819,0.0
18,truck_walk,truck,0.0,0.0,1,0,126.919217,37.472485,0.0,0.6149,0.0
19,truck_walk,truck,0.0,0.0,1,0,126.919452,37.472077,0.0,0.6672,0.0
20,truck_walk,truck,0.0,0.0,1,0,126.919652,37.471679,0.0,0.7166,0.0
21,truck_walk,truck,0.0,0.0,1,0,126.919732,37.471518,0.0,0.7365,0.0
22,truck_walk,truck,0.0,0.0,1,0,126.919779,37.471408,0.0,0.7498,0.0
23,truck_walk,truck,0.0,0.0,1,0,126.919837,37.471421,0.0,0.7564,0.0
24,truck_walk,truck,0.0,0.0,1,0,126.920372,37.471533,0.0,0.817,0.0
25,truck_walk,truck,0.0,0.0,1,0,126.920484,37.471554,0.0,0.8297,0.0
26,truck_walk,truck,0.0,0.0,1,0,126.920744,37.471498,0.0,0.8593,0.0
27,truck_walk,truck,0.0,0.0,1,0,126.920989,37.471427,0.0,0.8876,0.0
28,truck_walk,truck,0.0,0.0,1,0,126.921161,37.471381,0.0,0.9073,0.0
29,truck_walk,truck,0.0,0.0,1,0,126.921343,37.471331,0.0,0.9283,0.0
30,truck_walk,truck,0.0,0.0,1,0,126.921809,37.471046,0.0,0.9889,0.0
31,truck_walk,truck,0.0,0.0,1,0,126.92185,37.470743,0.0,1.0229,0.0
32,truck_walk,walk,0.0,2.9,1,0,126.92185,37.470743,0.0,1.0229,0.0
33,truck_walk,walk,4.273,2.9,1,0,126.92185,37.470743,0.0,1.0229,12.392
34,truck_walk,walk,0.299,2.9,1,0,126.921371,37.470666,0.0538,1.0229,0.867
35,truck_walk,walk,6.069,2.9,1,0,126.921044,37.470652,0.0901,1.0229,17.6
36,truck_walk,walk,6.069,2.9,1,0,126.920718,37.470639,0.1264,1.0229,17.6
37,truck_walk,walk,6.069,2.9,1,0,126.920607,37.470635,0.1387,1.0229,17.6
38,truck_walk,walk,0.0,2.9,1,0,126.920544,37.470556,0.1499,1.0229,0.0
39,truck_walk,walk,3.521,2.9,1,0,126.920842,37.470376,0.1885,1.0229,10.211
40,truck_walk,walk,3.933,2.9,1,0,126.921129,37.470223,0.2246,1.0229,11.406
41,truck_walk,walk,3.547,2.9,1,0,126.921421,37.470153,0.258,1.0229,10.286
42,truck_walk,walk,3.491,2.9,1,0,126.921589,37.470114,0.2771,1.0229,10.124
43,truck_walk,walk,3.491,2.9,1,0,126.922016,37.470138,0.3245,1.0229,10.124
44,truck_walk,truck,3.491,0.0,2,0,126.922016,37.470138,0.3245,1.0229,0.0
45,truck_walk,truck,0.0,0.0,2,0,126.922016,37.470138,0.3245,1.0229,0.0
46,truck_walk,truck,0.0,0.0,2,0,126.921916,37.469698,0.3245,1.073,0.0
47,truck_walk,truck,0.0,0.0,2,0,126.921735,37.469732,0.3245,1.0934,0.0
48,truck_walk,truck,0.0,0.0,2,0,126.921373,37.469729,0.3245,1.1336,0.0
49,truck_walk,truck,0.0,0.0,2,0,126.921088,37.469726,0.3245,1.1652,0.0
50,truck_walk,truck,0.0,0.0,2,0,126.920856,37.469724,0.3245,1.1909,0.0
51,truck_walk,truck,0.0,0.0,2,0,126.920595,37.469697,0.3245,1.2201,0.0
52,truck_walk,truck,0.0,0.0,2,0,126.92073,37.46961,0.3245,1.2379,0.0
53,truck_walk,truck,0.0,0.0,2,0,126.920928,37.46948,0.3245,1.2642,0.0
54,truck_walk,truck,0.0,0.0,2,0,126.921004,37.469415,0.3245,1.2753,0.0
55,truck_walk,truck,0.0,0.0,2,0,126.9211,37.469213,0.3245,1.3002,0.0
56,truck_walk,truck,0.0,0.0,2,0,126.921267,37.468721,0.3245,1.3578,0.0
57,truck_walk,truck,0.0,0.0,2,0,126.921256,37.468593,0.3245,1.3721,0.0
58,truck_walk,truck,0.0,0.0,2,0,126.921294,37.468474,0.3245,1.386,0.0
59,truck_walk,truck,0.0,0.0,2,0,126.921707,37.467911,0.3245,1.4635,0.0
60,truck_walk,truck,0.0,0.0,2,0,126.921892,37.467578,0.3245,1.5058,0.0
61,truck_walk,truck,0.0,0.0,2,0,126.921774,37.467322,0.3245,1.537,0.0
62,truck_walk,truck,0.0,0.0,2,0,126.921676,37.46737,0.3245,1.5491,0.0
63,truck_walk,truck,0.0,0.0,2,0,126.921159,37.466887,0.3245,1.6276,0.0
64,truck_walk,truck,0.0,0.0,2,0,126.920937,37.466965,0.3245,1.6538,0.0
65,truck_walk,walk,0.0,2.3,2,0,126.920937,37.466965,0.3245,1.6538,0.0
66,truck_walk,walk,2.389,2.3,2,0,126.920937,37.466965,0.3245,1.6538,5.495
67,truck_walk,truck,2.389,0.0,3,0,126.920937,37.466965,0.3245,1.6538,0.0
68,truck_walk,truck,0.0,0.0,3,0,126.920937,37.466965,0.3245,1.6538,0.0
69,truck_walk,truck,0.0,0.0,3,0,126.920846,37.466982,0.3245,1.664,0.0
70,truck_walk,truck,0.0,0.0,3,0,126.920552,37.467053,0.3245,1.6977,0.0
